Member_Number,Member Name,1st Line Address,City,Branch,DOB,Membership Expiry,Student Discount,Price Per Month,Peak,PT
1001,Lionel Messi,23 Kings Road,Leeds,Lofthouse,24/06/1987,30/04/2016,Yes,25.55,Yes,NAM
2002,Cristiano Ronaldo,43 Evergreen Road,Manchester,Stretford,05/02/1985,30/06/2016,No,37.55,Yes,YAH
3003,Andres Iniesta,35 Albert Road,London,Highbury,11/05/1984,31/08/2016,No,37.55,Yes,HHA
4004,Zlatan Ibrahimovic,35 Cresset Road,Leeds,Oakwood,03/10/1981,08/06/2016,Yes,17.5,No,NAM
5005,Radamel Falcao,33 Baker Street,Manchester,Sale,10/02/1986,31/12/2016,No,37.55,Yes,YAH
6006,Robin van Persie,32 Lear Street,Liverpool,Kensington,06/08/1983,30/04/2016,No,23.65,No,BJE
7007,Andrea Pirlo,77 Hazel Grove,Manchester,Stretford,19/05/1979,30/06/2016,Yes,25.55,Yes,YAH
8008,Yaya Toure,86 Eastbrook Road,London,Barnet,13/05/1983,31/12/2016,No,37.55,Yes,HHA
9009,Edinson Cavani,19 Albert Road,Leeds,Oakwood,14/02/1987,31/08/2016,Yes,17.5,No,NAM
10010,Sergio Aguero,53 Phoenix Road,Manchester,Stretford,02/06/1988,30/04/2016,Yes,25.55,Yes,YAH
11011,Iker Casillas,65 Abbey Road,London,Chelsea,20/05/1981,15/06/2016,No,37.55,Yes,HHA
12012,Sergio Busquets,98 Eastbrook Road,Manchester,Stretford,16/07/1988,16/06/2016,No,23.65,No,YAH
13013,Xabi Alonso,12 Cresset Road,London,Chelsea,25/11/1988,30/04/2016,Yes,25.55,Yes,HHA
14014,Thiago Silva,53 Peace Street,Manchester,Stretford,22/09/1984,18/06/2016,No,37.55,Yes,YAH
15015,Mesut Ozil,34 Lear Street,Liverpool,Halewood,15/10/1988,31/12/2016,No,37.55,Yes,BJE
16016,David Silva,10 Abbey Road,Leeds,Lofthouse,08/01/1986,30/04/2016,Yes,17.5,No,NAM
17017,Bastian Schweinsteiger,34  Jersey Terrace,London,Barnet,01/08/1984,21/06/2016,No,37.55,Yes,HHA
18018,Gianluigi Buffon,94 Eastbrook Road,Manchester,Sale,28/01/1978,22/06/2016,Yes,25.55,Yes,YAH
19019,Luis Suarez,32 Baker Street,London,Highbury,24/01/1987,30/06/2016,Yes,25.55,Yes,HHA
20020,Sergio Ramos,36 Eastbrook Road,Leeds,Oakwood,30/03/1986,30/04/2016,No,23.65,No,NAM
21021,Vincent Kompany,75 Albert Road,London,Barnet,10/04/1986,25/06/2016,No,37.55,Yes,HHA
